Year,,Entity,Code,Year,Rate
2000,3256,Russia,RUS,2000,47.826057
2000,2244,Lithuania,LTU,2000,45.774532
2000,3762,Sri Lanka,LKA,2000,40.005592
2000,2706,Nauru,NRU,2000,36.158596
2000,374,Belarus,BLR,2000,35.30609
2001,3257,Russia,RUS,2001,46.203846
2001,2245,Lithuania,LTU,2001,42.21207
2001,2707,Nauru,NRU,2001,35.843754
2001,375,Belarus,BLR,2001,34.933205
2001,1673,Guyana,GUY,2001,34.762096
2002,3258,Russia,RUS,2002,44.78763
2002,2246,Lithuania,LTU,2002,42.502354
2002,2708,Nauru,NRU,2002,35.58234
2002,376,Belarus,BLR,2002,35.508404
2002,1674,Guyana,GUY,2002,33.87248
2003,3259,Russia,RUS,2003,43.223656
2003,2247,Lithuania,LTU,2003,40.28112
2003,377,Belarus,BLR,2003,35.07509
2003,2005,Kazakhstan,KAZ,2003,35.03094
2003,1675,Guyana,GUY,2003,33.0036
2004,3260,Russia,RUS,2004,41.406204
2004,2248,Lithuania,LTU,2004,38.408653
2004,2006,Kazakhstan,KAZ,2004,36.992737
2004,2710,Nauru,NRU,2004,36.83077
2004,378,Belarus,BLR,2004,34.854427
2005,3261,Russia,RUS,2005,39.263763
2005,2249,Lithuania,LTU,2005,37.10808
2005,2711,Nauru,NRU,2005,35.709167
2005,2007,Kazakhstan,KAZ,2005,35.651287
2005,379,Belarus,BLR,2005,34.857964
2006,3262,Russia,RUS,2006,35.885815
2006,2712,Nauru,NRU,2006,35.022987
2006,2008,Kazakhstan,KAZ,2006,34.26772
2006,380,Belarus,BLR,2006,31.951508
2006,1678,Guyana,GUY,2006,30.300343
2007,2713,Nauru,NRU,2007,35.795227
2007,3263,Russia,RUS,2007,34.271847
2007,2009,Kazakhstan,KAZ,2007,34.216328
2007,1679,Guyana,GUY,2007,30.188337
2007,2251,Lithuania,LTU,2007,29.619562
2008,2714,Nauru,NRU,2008,35.164352
2008,3264,Russia,RUS,2008,33.14074
2008,2252,Lithuania,LTU,2008,32.72438
2008,2010,Kazakhstan,KAZ,2008,31.67296
2008,382,Belarus,BLR,2008,30.384602
2009,2715,Nauru,NRU,2009,33.91916
2009,2253,Lithuania,LTU,2009,32.9993
2009,3265,Russia,RUS,2009,31.86121
2009,1681,Guyana,GUY,2009,31.37878
2009,383,Belarus,BLR,2009,30.46388
2010,1330,Eswatini,SWZ,2010,35.63287
2010,2188,Lesotho,LSO,2010,34.03168
2010,2716,Nauru,NRU,2010,33.202354
2010,2254,Lithuania,LTU,2010,31.516665
2010,1682,Guyana,GUY,2010,31.375753
2011,2189,Lesotho,LSO,2011,35.629627
2011,2717,Nauru,NRU,2011,33.572906
2011,2255,Lithuania,LTU,2011,32.071087
2011,1683,Guyana,GUY,2011,31.555191
2011,3267,Russia,RUS,2011,29.850252
2012,1684,Guyana,GUY,2012,32.999195
2012,2718,Nauru,NRU,2012,32.63418
2012,2256,Lithuania,LTU,2012,29.279621
2012,3268,Russia,RUS,2012,28.982327
2012,2190,Lesotho,LSO,2012,27.851719
2013,1685,Guyana,GUY,2013,35.588295
2013,2257,Lithuania,LTU,2013,34.403355
2013,2719,Nauru,NRU,2013,31.718214
2013,2191,Lesotho,LSO,2013,31.086922
2013,3269,Russia,RUS,2013,28.347618
2014,2192,Lesotho,LSO,2014,36.5167
2014,1686,Guyana,GUY,2014,36.00959
2014,2720,Nauru,NRU,2014,30.986103
2014,2258,Lithuania,LTU,2014,29.344685
2014,1334,Eswatini,SWZ,2014,28.353148
2015,2193,Lesotho,LSO,2015,37.473797
2015,1687,Guyana,GUY,2015,35.63908
2015,1335,Eswatini,SWZ,2015,30.515505
2015,2259,Lithuania,LTU,2015,28.516666
2015,3821,Suriname,SUR,2015,27.285585
2016,2194,Lesotho,LSO,2016,36.413048
2016,1688,Guyana,GUY,2016,36.373608
2016,1336,Eswatini,SWZ,2016,32.4474
2016,3822,Suriname,SUR,2016,27.469828
2016,2722,Nauru,NRU,2016,26.43976
2017,1337,Eswatini,SWZ,2017,35.498947
2017,2195,Lesotho,LSO,2017,35.264004
2017,1689,Guyana,GUY,2017,34.166798
2017,3823,Suriname,SUR,2017,26.720053
2017,2723,Nauru,NRU,2017,26.21587
2018,2196,Lesotho,LSO,2018,36.769737
2018,1338,Eswatini,SWZ,2018,36.117935
2018,1690,Guyana,GUY,2018,31.069693
2018,3824,Suriname,SUR,2018,27.196507
2018,2724,Nauru,NRU,2018,24.739874
2019,2197,Lesotho,LSO,2019,37.40853
2019,1339,Eswatini,SWZ,2019,33.847137
2019,1691,Guyana,GUY,2019,29.433424
2019,2725,Nauru,NRU,2019,27.403366
2019,3825,Suriname,SUR,2019,26.84077
2020,2198,Lesotho,LSO,2020,42.123062
2020,1692,Guyana,GUY,2020,31.721647
2020,4112,Tuvalu,TUV,2020,31.298826
2020,1340,Eswatini,SWZ,2020,29.587275
2020,3826,Suriname,SUR,2020,28.867695
2021,2199,Lesotho,LSO,2021,37.36247
2021,1341,Eswatini,SWZ,2021,32.354332
2021,2727,Nauru,NRU,2021,28.328049
2021,1693,Guyana,GUY,2021,26.403877
2021,4421,Zimbabwe,ZWE,2021,25.492823
